setor,adm_jun,desl_jun,saldo_jun,var_jun,adm_ano,desl_ano,saldo_ano,var_ano,adm_12m,desl_12m,saldo_12m,var_12m
"Agricultura, pecuária, produção florestal, pesca e aquicultura",114801.0,91903.0,22898.0,1.2517951726913452,668616.0,627763.0,40853.0,2.2555041854887596,1210843.0,1229521.0,-18678.0,-0.9984022783969757
Indústria geral,331149.0,316711.0,14438.0,0.1585228592157364,2124031.0,1980589.0,143442.0,1.5975576330593593,3947383.0,3889701.0,57682.0,0.6363442101248694
Indústrias Extrativas,5698.0,5516.0,182.0,0.0618748776614666,37407.0,33000.0,4407.0,1.520090232721779,74622.0,66925.0,7697.0,2.685371580486137
Indústrias de Transformação,309928.0,297336.0,12592.0,0.15253950655460358,1988841.0,1860268.0,128573.0,1.57972853925516,3685344.0,3652606.0,32738.0,0.3975584002700745
Eletricidade e Gás,2529.0,2170.0,359.0,0.24846182763576508,14673.0,11458.0,3215.0,2.2699512119350715,28080.0,21035.0,7045.0,5.112370557970436
"Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação",12994.0,11689.0,1305.0,0.3149944543838501,83110.0,75863.0,7247.0,1.7746987273203692,159337.0,149135.0,10202.0,2.5165517173331753
Construção,208989.0,194853.0,14136.0,0.4552398920059204,1333931.0,1164969.0,168962.0,5.726845967427593,2509495.0,2413822.0,95673.0,3.164167415488423
Comércio; reparação de veículos automotores e motocicletas,507660.0,488483.0,19177.0,0.1833658069372177,3147534.0,3151048.0,-3514.0,-0.03352727120070375,6246877.0,6097958.0,148919.0,1.4418138705710666
Serviços,1057527.0,983013.0,74514.0,0.31861841678619385,6692225.0,6120299.0,571926.0,2.498673609334435,12720030.0,12039753.0,680277.0,2.986181409608683
"Transporte, armazenagem e correio",133884.0,117667.0,16217.0,0.5529496073722839,791912.0,717945.0,73967.0,2.5727052621730206,1493059.0,1396856.0,96203.0,3.372194146796638
Alojamento e alimentação,136947.0,130357.0,6590.0,0.29214826226234436,882877.0,846952.0,35925.0,1.6136139157525102,1720172.0,1648177.0,71995.0,3.286994150113751
"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",554137.0,520582.0,33555.0,0.3140442967414856,3411711.0,3208299.0,203412.0,1.9345044351651617,6604522.0,6323461.0,281061.0,2.692853663574805
Informação e Comunicação,39348.0,38310.0,1038.0,0.08322889357805252,237819.0,232278.0,5541.0,0.44589831490512283,472472.0,457998.0,14474.0,1.1731930970141693
"Atividades Financeiras, de Seguros e Serviços Relacionados",21209.0,20448.0,761.0,0.06995546072721481,126933.0,126210.0,723.0,0.06645996361707662,249420.0,246131.0,3289.0,0.303047893361049
Atividades Imobiliárias,7969.0,7493.0,476.0,0.23186147212982178,49902.0,46220.0,3682.0,1.8219695282771453,94971.0,89994.0,4977.0,2.478659720907995
"Atividades Profissionais, Científicas e Técnicas",80658.0,76012.0,4646.0,0.2685103714466095,514108.0,471245.0,42863.0,2.5331694315247004,993102.0,923378.0,69724.0,4.1871020394436975
Atividades Administrativas e Serviços Complementares,404953.0,378319.0,26634.0,0.4152337908744812,2482949.0,2332346.0,150603.0,2.3942295448081627,4794557.0,4605960.0,188597.0,3.016463659911504
"Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais",175863.0,161933.0,13930.0,0.23207449913024902,1221073.0,1012336.0,208737.0,3.5942189994586387,2170789.0,2011009.0,159780.0,2.7282352886938397
"Administração Pública, Defesa e Seguridade Social",6778.0,5642.0,1136.0,0.19291119277477264,72218.0,40572.0,31646.0,5.667649302782066,111886.0,100087.0,11799.0,2.0406116127559413
Educação,47903.0,55545.0,-7642.0,-0.36306899785995483,452146.0,369691.0,82455.0,4.092593723150962,738946.0,726283.0,12663.0,0.6074753577426842
Saúde Humana e Serviços Sociais,121182.0,100746.0,20436.0,0.6176486611366272,696709.0,602073.0,94636.0,2.925851691015271,1319957.0,1184639.0,135318.0,4.23690311995604
Serviços domésticos,101.0,96.0,5.0,0.5128205418586731,596.0,487.0,109.0,12.51435132032147,1313.0,1175.0,138.0,16.389548693586697
Outros serviços,56595.0,52378.0,4217.0,0.2792865037918091,384056.0,334280.0,49776.0,3.3991641399655825,730175.0,659075.0,71100.0,4.927112005521692
"Artes, Cultura, Esporte e Recreação",16554.0,15505.0,1049.0,0.2833419740200043,111289.0,98583.0,12706.0,3.543549741052579,211040.0,188117.0,22923.0,6.580450696138941
Outras Atividades de Serviços,40009.0,36827.0,3182.0,0.28028008341789246,272463.0,235454.0,37009.0,3.3599766129866926,518623.0,470438.0,48185.0,4.41946638050427
Organismos Internacionais e Outras Instituições Extraterritoriais,32.0,46.0,-14.0,-0.3180372416973114,304.0,243.0,61.0,1.4097527155072798,512.0,520.0,-8.0,-0.18198362147406735
Não identificado,5.0,7.0,-2.0,,15.0,39.0,-24.0,,155.0,107.0,48.0,
Fonte: Novo Caged – MTE.,,,,,,,,,,,,
"* A variação mensal do emprego toma como referência o estoque do mês anterior, com ajustes.",,,,,,,,,,,,
** Resultados acrescidos dos ajustes até a competência de referência; a variação relativa toma como referência os estoques com ajustes do mês atual e do mesmo mês do ano anterior.,,,,,,,,,,,,
