uf,adm_jun,desl_jun,saldo_jun,var_jun,adm_ano,desl_ano,saldo_ano,var_ano,adm_12m,desl_12m,saldo_12m,var_12m
Brasil,2220131.0,2074970.0,145161.0,0.30313143134117126,13966352.0,13044707.0,921645.0,1.9563405422674693,26634783.0,25670862.0,963921.0,2.04791593984302
Norte,110395.0,100762.0,9633.0,0.3981667757034302,666725.0,620371.0,46354.0,1.9455078176643583,1302068.0,1234930.0,67138.0,2.842622657910191
Rondônia,14515.0,14407.0,108.0,0.03604096546769142,90852.0,87811.0,3041.0,1.0248512095333742,174895.0,169411.0,5484.0,1.8635123333661816
Acre,5298.0,4318.0,980.0,0.8795074820518494,30987.0,27312.0,3675.0,3.3799008562415502,57595.0,52697.0,4898.0,4.555940023068051
Amazonas,25975.0,22999.0,2976.0,0.5199315547943115,156381.0,144004.0,12377.0,2.198471709575084,305920.0,287295.0,18625.0,3.3454037296087544
Roraima,4348.0,4145.0,203.0,0.23698341846466064,27023.0,25085.0,1938.0,2.3092046470062555,51974.0,50206.0,1768.0,2.1023842083358106
Pará,43841.0,39451.0,4390.0,0.4348881244659424,261658.0,244170.0,17488.0,1.7551941723699438,518605.0,491284.0,27321.0,2.769420713535606
Amapá,5312.0,4201.0,1111.0,1.038560390472412,29242.0,24837.0,4405.0,4.2486087132647254,56104.0,48468.0,7636.0,7.60179193628671
Tocantins,11106.0,11241.0,-135.0,-0.05774660035967827,70582.0,67152.0,3430.0,1.4899116043698282,136975.0,135569.0,1406.0,0.6054108052480419
Nordeste,317000.0,282567.0,34433.0,0.4301999807357788,1928400.0,1795853.0,132547.0,1.67657116171619,3798287.0,3486606.0,311681.0,4.033815712365842
Maranhão,25756.0,20808.0,4948.0,0.7710744142532349,150968.0,135646.0,15322.0,2.4269476405291703,293827.0,267052.0,26775.0,4.319419237749546
Piauí,15306.0,12283.0,3023.0,0.8018865585327148,87799.0,76099.0,11700.0,3.176680450382695,169050.0,150195.0,18855.0,5.2207645491950805
Ceará,60372.0,55081.0,5291.0,0.379591166973114,348605.0,324074.0,24531.0,1.784555530659931,682359.0,634993.0,47366.0,3.5039388427074263
Rio Grande do Norte,19584.0,19297.0,287.0,0.054118573665618896,122902.0,122186.0,716.0,0.13512289389455884,249161.0,239536.0,9625.0,1.8474832958718106
Paraíba,21796.0,19431.0,2365.0,0.42734965682029724,134906.0,128303.0,6603.0,1.2023533567746412,269135.0,240894.0,28241.0,5.353388874671823
Pernambuco,57893.0,51731.0,6162.0,0.4030367136001587,356526.0,335115.0,21411.0,1.4145334041557989,710865.0,643196.0,67669.0,4.6115337068774
Alagoas,16539.0,13766.0,2773.0,0.6266255974769592,99590.0,107805.0,-8215.0,-1.811398470178626,212779.0,195504.0,17275.0,4.035960348295784
Sergipe,12427.0,11828.0,599.0,0.1704692542552948,81388.0,76503.0,4885.0,1.4073875602497283,159931.0,145966.0,13965.0,4.131449009961038
Bahia,87327.0,78342.0,8985.0,0.4112386107444763,545716.0,490122.0,55594.0,2.5999717526542683,1051180.0,969270.0,81910.0,3.8784282493141373
Sudeste,1146462.0,1076079.0,70383.0,0.2885289490222931,7134585.0,6690222.0,444363.0,1.8499893421083307,13594992.0,13229098.0,365894.0,1.518343941374281
Minas Gerais,239167.0,218362.0,20805.0,0.4205155670642853,1472654.0,1363677.0,108977.0,2.2426361186716015,2782550.0,2744156.0,38394.0,0.7787973368271097
Espírito Santo,48527.0,50786.0,-2259.0,-0.2396455854177475,315363.0,291186.0,24177.0,2.638817034597023,587969.0,570768.0,17201.0,1.8632295690340583
Rio de Janeiro,150285.0,133429.0,16856.0,0.4381944537162781,904960.0,846309.0,58651.0,1.5414601018318752,1751362.0,1651796.0,99566.0,2.64522909767948
São Paulo,708483.0,673502.0,34981.0,0.2386656552553177,4441608.0,4189050.0,252558.0,1.749097897831679,8473111.0,8262378.0,210733.0,1.4552224221909387
Sul,428425.0,417972.0,10453.0,0.11919687688350677,2857686.0,2683977.0,173709.0,2.0184007727390347,5325684.0,5218391.0,107293.0,1.2371370573242313
Paraná,167080.0,158597.0,8483.0,0.2576986849308014,1087154.0,1017516.0,69638.0,2.155525441440393,2037823.0,1982986.0,54837.0,1.6896448131629425
Santa Catarina,136998.0,136190.0,808.0,0.030652154237031937,926661.0,863492.0,63169.0,2.4544337286574147,1714404.0,1672491.0,41913.0,1.6151911904968352
Rio Grande do Sul,124347.0,123185.0,1162.0,0.040891505777835846,843871.0,802969.0,40902.0,1.459781593089896,1573457.0,1562914.0,10543.0,0.37224361248956234
Centro-Oeste,216690.0,197073.0,19617.0,0.45664355158805847,1374820.0,1252406.0,122414.0,2.9194054824171247,2608267.0,2498533.0,109734.0,2.609114949519639
Mato Grosso do Sul,34031.0,31956.0,2075.0,0.30454468727111816,225415.0,206884.0,18531.0,2.787081753495696,419709.0,405578.0,14131.0,2.111345024346732
Mato Grosso,58747.0,50489.0,8258.0,0.8505046367645264,359274.0,327439.0,31835.0,3.360334228437284,673462.0,652318.0,21144.0,2.2069437732434163
Goiás,81728.0,77948.0,3780.0,0.23895148932933807,534145.0,489829.0,44316.0,2.875095288297786,1012459.0,987274.0,25185.0,1.6138995941060144
Distrito Federal,42184.0,36680.0,5504.0,0.5184128880500793,255986.0,228254.0,27732.0,2.667887797097378,502637.0,453363.0,49274.0,4.840598389676324
Não identificado,1159.0,517.0,642.0,,4136.0,1878.0,2258.0,,5485.0,3304.0,2181.0,
