setor,mes,Admissões,Desligamentos,Estoque,Saldos,date,taxa_liquida,estoque_ref
"Administração Pública, Defesa e Seguridade Social",Janeiro/2020,3961.0,4406.0,498460.0,-445.0,2020-01-01,-0.0008927496689804599,498460.0
"Administração Pública, Defesa e Seguridade Social",Fevereiro/2020,15470.0,4219.0,509711.0,11251.0,2020-02-01,0.022073292512816086,509711.0
"Administração Pública, Defesa e Seguridade Social",Março/2020,6957.0,3485.0,513183.0,3472.0,2020-03-01,0.006765617723112418,513183.0
"Administração Pública, Defesa e Seguridade Social",Abril/2020,2424.0,2474.0,513133.0,-50.0,2020-04-01,-9.744062455542715e-05,513133.0
"Administração Pública, Defesa e Seguridade Social",Maio/2020,3235.0,2751.0,513617.0,484.0,2020-05-01,0.0009423364102044909,513617.0
"Administração Pública, Defesa e Seguridade Social",Junho/2020,2402.0,2672.0,513347.0,-270.0,2020-06-01,-0.0005259600231422411,513347.0
"Administração Pública, Defesa e Seguridade Social",Julho/2020,2534.0,3009.0,512872.0,-475.0,2020-07-01,-0.0009261570138358109,512872.0
"Administração Pública, Defesa e Seguridade Social",Agosto/2020,3255.0,3310.0,512817.0,-55.0,2020-08-01,-0.00010725073466753248,512817.0
"Administração Pública, Defesa e Seguridade Social",Setembro/2020,2262.0,2414.0,512665.0,-152.0,2020-09-01,-0.00029648991056537894,512665.0
"Administração Pública, Defesa e Seguridade Social",Outubro/2020,1881.0,2435.0,512111.0,-554.0,2020-10-01,-0.0010817967198517508,512111.0
"Administração Pública, Defesa e Seguridade Social",Novembro/2020,1640.0,4032.0,509719.0,-2392.0,2020-11-01,-0.00469278170913778,509719.0
"Administração Pública, Defesa e Seguridade Social",Dezembro/2020,1332.0,16775.0,494276.0,-15443.0,2020-12-01,-0.0312436776214099,494276.0
"Administração Pública, Defesa e Seguridade Social",Janeiro/2021,6800.0,4582.0,496494.0,2218.0,2021-01-01,0.004467324882073097,496494.0
"Administração Pública, Defesa e Seguridade Social",Fevereiro/2021,10619.0,3990.0,503123.0,6629.0,2021-02-01,0.013175704549384545,503123.0
"Administração Pública, Defesa e Seguridade Social",Março/2021,7303.0,4051.0,506375.0,3252.0,2021-03-01,0.0064221179955566525,506375.0
"Administração Pública, Defesa e Seguridade Social",Abril/2021,5201.0,3545.0,508031.0,1656.0,2021-04-01,0.0032596436044257143,508031.0
"Administração Pública, Defesa e Seguridade Social",Maio/2021,5050.0,3977.0,509104.0,1073.0,2021-05-01,0.0021076243753732045,509104.0
"Administração Pública, Defesa e Seguridade Social",Junho/2021,4431.0,3750.0,509785.0,681.0,2021-06-01,0.001335857273164177,509785.0
"Administração Pública, Defesa e Seguridade Social",Julho/2021,4363.0,3670.0,510478.0,693.0,2021-07-01,0.0013575511579343282,510478.0
"Administração Pública, Defesa e Seguridade Social",Agosto/2021,5955.0,4809.0,511624.0,1146.0,2021-08-01,0.002239926195800041,511624.0
"Administração Pública, Defesa e Seguridade Social",Setembro/2021,5663.0,4719.0,512568.0,944.0,2021-09-01,0.001841706856456119,512568.0
"Administração Pública, Defesa e Seguridade Social",Outubro/2021,5043.0,4117.0,513494.0,926.0,2021-10-01,0.0018033316844987479,513494.0
"Administração Pública, Defesa e Seguridade Social",Novembro/2021,3736.0,3798.0,513432.0,-62.0,2021-11-01,-0.0001207560105330404,513432.0
"Administração Pública, Defesa e Seguridade Social",Dezembro/2021,2370.0,20153.0,495649.0,-17783.0,2021-12-01,-0.03587821220258691,495649.0
