uf,mes,Admissões,Desligamentos,Estoque,Saldos,date,taxa_liquida,estoque_ref
Acre,Janeiro/2020,2583.0,2396.0,73579.0,187.0,2020-01-01,0.00254148602182688,73579.0
Acre,Fevereiro/2020,2751.0,1883.0,74447.0,868.0,2020-02-01,0.01165930124786761,74447.0
Acre,Março/2020,2433.0,2365.0,74515.0,68.0,2020-03-01,0.0009125679393410722,74515.0
Acre,Abril/2020,1646.0,1927.0,74234.0,-281.0,2020-04-01,-0.0037853274779750517,74234.0
Acre,Maio/2020,1572.0,1460.0,74346.0,112.0,2020-05-01,0.0015064697495494042,74346.0
Acre,Junho/2020,1693.0,1506.0,74533.0,187.0,2020-06-01,0.0025089557645606646,74533.0
Acre,Julho/2020,2020.0,1600.0,74953.0,420.0,2020-07-01,0.005603511533894574,74953.0
Acre,Agosto/2020,2614.0,1718.0,75849.0,896.0,2020-08-01,0.01181294413901304,75849.0
Acre,Setembro/2020,2308.0,1735.0,76422.0,573.0,2020-09-01,0.007497840935856167,76422.0
Acre,Outubro/2020,2645.0,1848.0,77219.0,797.0,2020-10-01,0.01032129398205105,77219.0
Acre,Novembro/2020,2412.0,1618.0,78013.0,794.0,2020-11-01,0.010177790881007011,78013.0
Acre,Dezembro/2020,1785.0,1837.0,77961.0,-52.0,2020-12-01,-0.0006670001667500417,77961.0
Acre,Janeiro/2021,2485.0,1990.0,78456.0,495.0,2021-01-01,0.0063092688895686755,78456.0
Acre,Fevereiro/2021,3101.0,2032.0,79525.0,1069.0,2021-02-01,0.013442313737818297,79525.0
Acre,Março/2021,2551.0,2278.0,79798.0,273.0,2021-03-01,0.0034211383743953483,79798.0
Acre,Abril/2021,2720.0,2149.0,80369.0,571.0,2021-04-01,0.007104729435478854,80369.0
Acre,Maio/2021,3847.0,2233.0,81983.0,1614.0,2021-05-01,0.01968700828220485,81983.0
Acre,Junho/2021,3196.0,2169.0,83010.0,1027.0,2021-06-01,0.01237200337308758,83010.0
Acre,Julho/2021,3485.0,2613.0,83882.0,872.0,2021-07-01,0.010395555661524522,83882.0
Acre,Agosto/2021,3417.0,3030.0,84269.0,387.0,2021-08-01,0.0045924361271642,84269.0
Acre,Setembro/2021,4311.0,3194.0,85386.0,1117.0,2021-09-01,0.013081769845173681,85386.0
Acre,Outubro/2021,3834.0,2789.0,86431.0,1045.0,2021-10-01,0.012090569355902397,86431.0
Acre,Novembro/2021,3577.0,2612.0,87396.0,965.0,2021-11-01,0.011041695272094833,87396.0
Acre,Dezembro/2021,2633.0,2880.0,87149.0,-247.0,2021-12-01,-0.0028342264397755567,87149.0
Acre,Janeiro/2022,3356.0,3128.0,87377.0,228.0,2022-01-01,0.002609382331734896,87377.0
Acre,Fevereiro/2022,4025.0,3312.0,88090.0,713.0,2022-02-01,0.008093994778067885,88090.0
Acre,Março/2022,4161.0,3395.0,88856.0,766.0,2022-03-01,0.008620689655172414,88856.0
Acre,Abril/2022,3986.0,3186.0,89656.0,800.0,2022-04-01,0.00892299455697332,89656.0
Acre,Maio/2022,4830.0,3923.0,90563.0,907.0,2022-05-01,0.01001512759073794,90563.0
Acre,Junho/2022,4780.0,3596.0,91747.0,1184.0,2022-06-01,0.012905054116210884,91747.0
Acre,Julho/2022,4896.0,3870.0,92773.0,1026.0,2022-07-01,0.01105925215310489,92773.0
Acre,Agosto/2022,4477.0,3612.0,93638.0,865.0,2022-08-01,0.00923770264208975,93638.0
Acre,Setembro/2022,3799.0,3038.0,94399.0,761.0,2022-09-01,0.008061526075488087,94399.0
Acre,Outubro/2022,3850.0,3175.0,95074.0,675.0,2022-10-01,0.007099732839682773,95074.0
Acre,Novembro/2022,3540.0,3079.0,95535.0,461.0,2022-11-01,0.004825456638928142,95535.0
Acre,Dezembro/2022,2366.0,3167.0,94734.0,-801.0,2022-12-01,-0.008455253657609728,94734.0
Acre,Janeiro/2023,3641.0,4289.0,94086.0,-648.0,2023-01-01,-0.006887315859957911,94086.0
Acre,Fevereiro/2023,4176.0,3364.0,94898.0,812.0,2023-02-01,0.008556555459546039,94898.0
Acre,Março/2023,4738.0,4172.0,95464.0,566.0,2023-03-01,0.005928936562473812,95464.0
Acre,Abril/2023,3659.0,3503.0,95620.0,156.0,2023-04-01,0.0016314578540054382,95620.0
Acre,Maio/2023,4508.0,3946.0,96182.0,562.0,2023-05-01,0.005843089143498783,96182.0
Acre,Junho/2023,4401.0,3383.0,97200.0,1018.0,2023-06-01,0.010473251028806585,97200.0
Acre,Julho/2023,4213.0,3472.0,97941.0,741.0,2023-07-01,0.007565779397800717,97941.0
Acre,Agosto/2023,4406.0,3958.0,98389.0,448.0,2023-08-01,0.004553354541666243,98389.0
Acre,Setembro/2023,3804.0,3444.0,98749.0,360.0,2023-09-01,0.0036456065377877245,98749.0
Acre,Outubro/2023,3915.0,3788.0,98876.0,127.0,2023-10-01,0.0012844370726971155,98876.0
Acre,Novembro/2023,3790.0,3547.0,99119.0,243.0,2023-11-01,0.0024515985835208186,99119.0
Acre,Dezembro/2023,3461.0,3825.0,98755.0,-364.0,2023-12-01,-0.0036858893220596428,98755.0
Acre,Janeiro/2024,3939.0,3972.0,98722.0,-33.0,2024-01-01,-0.0003342719961102895,98722.0
Acre,Fevereiro/2024,4798.0,3945.0,99575.0,853.0,2024-02-01,0.008566407230730605,99575.0
Acre,Março/2024,5003.0,3820.0,100758.0,1183.0,2024-03-01,0.011741003195776019,100758.0
Acre,Abril/2024,5094.0,3827.0,102025.0,1267.0,2024-04-01,0.01241852487135506,102025.0
Acre,Maio/2024,4710.0,3786.0,102949.0,924.0,2024-05-01,0.008975317875841436,102949.0
Acre,Junho/2024,4413.0,3499.0,103863.0,914.0,2024-06-01,0.00880005391717936,103863.0
Acre,Julho/2024,4750.0,4206.0,104407.0,544.0,2024-07-01,0.005210378614460717,104407.0
Acre,Agosto/2024,4492.0,4140.0,104759.0,352.0,2024-08-01,0.003360093166219609,104759.0
Acre,Setembro/2024,4642.0,3687.0,105714.0,955.0,2024-09-01,0.00903380819948162,105714.0
Acre,Outubro/2024,4656.0,4509.0,105861.0,147.0,2024-10-01,0.0013886133703630231,105861.0
Acre,Novembro/2024,3905.0,4277.0,105489.0,-372.0,2024-11-01,-0.003526434035776242,105489.0
Acre,Dezembro/2024,3016.0,3751.0,104754.0,-735.0,2024-12-01,-0.007016438513087806,104754.0
Acre,Janeiro/2025,3905.0,4550.0,104109.0,-645.0,2025-01-01,-0.0061954297899317065,104109.0
Acre,Fevereiro/2025,5205.0,4776.0,104538.0,429.0,2025-02-01,0.004103770877575619,104538.0
Acre,Março/2025,4810.0,4456.0,104892.0,354.0,2025-03-01,0.0033748998970369523,104892.0
Acre,Abril/2025,4660.0,3900.0,105652.0,760.0,2025-04-01,0.007193427478892969,105652.0
Acre,Maio/2025,5783.0,4398.0,107037.0,1385.0,2025-05-01,0.012939450844100638,107037.0
Acre,Junho/2025,4821.0,4216.0,107642.0,605.0,2025-06-01,0.005620482711209379,107642.0
