setor,demanda_prevista,prob_Baixa,prob_Média,prob_Alta
"Administração Pública, Defesa e Seguridade Social",Baixa,0.6158448632321043,0.17586227026787704,0.2082928665000189
"Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais",Baixa,0.521453070340431,0.34974201883689576,0.12880491082267376
"Agricultura, pecuária, produção florestal, pesca e aquicultura",Alta,0.12746664421116494,0.2631486256364639,0.609384730152371
Alojamento e alimentação,Média,0.26821637496836853,0.6054683261975025,0.12631529883412854
"Artes, Cultura, Esporte e Recreação",Média,0.4201163958812852,0.45337099662096497,0.12651260749774967
Atividades Administrativas e Serviços Complementares,Média,0.1785175916612555,0.6811049849692506,0.14037742336949405
"Atividades Financeiras, de Seguros e Serviços Relacionados",Baixa,0.737797895623028,0.23319904091589216,0.029003063461079722
Atividades Imobiliárias,Baixa,0.613464457022355,0.3414153971320839,0.045120145845561094
"Atividades Profissionais, Científicas e Técnicas",Baixa,0.4703537709473744,0.4348385517443517,0.09480767730827372
Comércio; reparação de veículos automotores e motocicletas,Média,0.36231982761535286,0.5518826588740143,0.08579751351063244
Construção,Alta,0.32736822683296035,0.27101760049829904,0.40161417266874094
Educação,Baixa,0.6027745062589603,0.1608114955185922,0.23641399822244685
Eletricidade e Gás,Baixa,0.592883728853486,0.3420714028972375,0.06504486824927663
Indústria geral,Baixa,0.48483148274039456,0.46386600937381955,0.05130250788578567
Indústrias Extrativas,Baixa,0.6666145345877125,0.28781854732477363,0.04556691808751369
Indústrias de Transformação,Baixa,0.5070541035939831,0.44021024793385555,0.05273564847216134
Informação e Comunicação,Baixa,0.7092581468095112,0.26118717902475685,0.02955467416573124
"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Média,0.2162302101698661,0.6899046990094457,0.09386509082068853
Organismos Internacionais e Outras Instituições Extraterritoriais,Baixa,0.5773963352086569,0.28986511578944274,0.13273854900190027
Outras Atividades de Serviços,Média,0.3901199612699438,0.4906124173174424,0.11926762141261342
Outros serviços,Média,0.3642407139564787,0.534328269023816,0.10143101701970511
Saúde Humana e Serviços Sociais,Média,0.16147474230777267,0.4818915661085599,0.3566336915836669
Serviços,Média,0.1992965527664676,0.715577319860506,0.0851261273730262
Serviços domésticos,Alta,0.3564887786032576,0.14150128477628615,0.5020099366204565
"Transporte, armazenagem e correio",Média,0.14592882509418476,0.5090291544835824,0.3450420204222324
"Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação",Média,0.3768794450732975,0.5231796022573443,0.09994095266935822
