uf,demanda_prevista,prob_Baixa,prob_Média,prob_Alta
Acre,Alta,0.11350404932911502,0.1689264822117828,0.7175694684591023
Alagoas,Alta,0.08689257476043567,0.23125894668054975,0.6818484785590146
Amapá,Alta,0.16663473228117723,0.21620721890734132,0.6171580488114815
Amazonas,Média,0.22458561533641772,0.5063647168338837,0.2690496678296984
Bahia,Baixa,0.509200384275364,0.4163395332811667,0.07446008244346913
Brasil,Baixa,0.5190421792866114,0.4414951828229636,0.03946263789042485
Ceará,Média,0.34817719073541853,0.5291793723749753,0.12264343688960612
Centro-Oeste,Média,0.30345653384449167,0.5746625774065963,0.12188088874891179
Distrito Federal,Média,0.2660929183378672,0.5612418049047938,0.1726652767573384
Espírito Santo,Baixa,0.4995938413758721,0.32195374832026924,0.17845241030385875
Goiás,Baixa,0.5485493542955587,0.3149042604486835,0.13654638525575782
Maranhão,Alta,0.23154235396516046,0.37308551737145185,0.3953721286633881
Mato Grosso,Média,0.2520375133056867,0.4398104284457127,0.30815205824860104
Mato Grosso do Sul,Baixa,0.6251229146054691,0.2937072733824657,0.08116981201206547
Minas Gerais,Média,0.4616301321616188,0.4690753032521657,0.06929456458621583
Nordeste,Média,0.33862986973488846,0.5868266629673814,0.07454346729773001
Norte,Média,0.37774682632816414,0.5409488410046913,0.08130433266714443
Não identificado,Alta,0.29697639404888876,0.2427838285824941,0.46023977736861704
Paraná,Baixa,0.6997243071969222,0.25198604099057836,0.04828965181249945
Paraíba,Média,0.19264002795315416,0.5009640804635116,0.3063958915833339
Pará,Média,0.25179194539715455,0.597444585658306,0.1507634689445392
Pernambuco,Média,0.3149683879115528,0.5496906857931498,0.13534092629529748
Piauí,Alta,0.12070694000205828,0.2644948540245285,0.6147982059734133
Rio Grande do Norte,Baixa,0.555812114245482,0.3319181325926899,0.11226975316182747
Rio Grande do Sul,Baixa,0.4845568385977026,0.37781323728702765,0.1376299241152702
Rio de Janeiro,Média,0.28066997154188444,0.6458873899730014,0.07344263848511379
Rondônia,Baixa,0.674804780523241,0.20537312282348905,0.1198220966532696
Roraima,Baixa,0.6295957935543087,0.2082320244515694,0.16217218199412176
Santa Catarina,Baixa,0.732999831734711,0.18709217662619004,0.07990799163909891
Sergipe,Baixa,0.5334733923749018,0.28971765700981533,0.1768089506152828
Sudeste,Baixa,0.5367110594355435,0.4300287882521527,0.03326015231230358
Sul,Baixa,0.7575021170991129,0.18859280569132078,0.053905077209566006
São Paulo,Baixa,0.7164291986864775,0.24942838978284979,0.034142411530672365
Tocantins,Baixa,0.5604467589900086,0.22135183995923063,0.2182014010507606
