setor,date_base,target_date,target_taxa,taxa_atual,taxa_media_3m,taxa_media_6m,taxa_tendencia_6m,taxa_volatilidade_6m,saldo_atual,estoque_atual,admissoes_atual,desligamentos_atual,saldo_medio_6m,taxa_lag_6m,taxa_lag_5m,taxa_lag_4m,taxa_lag_3m,taxa_lag_2m,taxa_lag_1m
"Administração Pública, Defesa e Seguridade Social",2020-07-01,2020-08-01,-0.00010725073466753248,-0.0009261570138358109,-0.00016992687559118702,0.004705281497433253,-0.0038809201096361005,0.00818736501218637,-475.0,512872.0,2534.0,3009.0,2402.0,0.022073292512816086,0.006765617723112418,-9.744062455542715e-05,0.0009423364102044909,-0.0005259600231422411,-0.0009261570138358109
"Administração Pública, Defesa e Seguridade Social",2020-08-01,2020-09-01,-0.00029648991056537894,-0.00010725073466753248,-0.0005197892572151948,0.0010085242895193163,-0.0010948225111453605,0.002636735727675694,-55.0,512817.0,3255.0,3310.0,517.6666666666666,0.006765617723112418,-9.744062455542715e-05,0.0009423364102044909,-0.0005259600231422411,-0.0009261570138358109,-0.00010725073466753248
"Administração Pública, Defesa e Seguridade Social",2020-09-01,2020-10-01,-0.0010817967198517508,-0.00029648991056537894,-0.0004432992196895741,-0.00016849364942698327,-0.00012983442443883995,0.0005716878042694201,-152.0,512665.0,2262.0,2414.0,-86.33333333333333,-9.744062455542715e-05,0.0009423364102044909,-0.0005259600231422411,-0.0009261570138358109,-0.00010725073466753248,-0.00029648991056537894
"Administração Pública, Defesa e Seguridade Social",2020-10-01,2020-11-01,-0.00469278170913778,-0.0010817967198517508,-0.0004951791216948875,-0.0003325529986430372,-0.00024609568666806686,0.0006618840305037184,-554.0,512111.0,1881.0,2435.0,-170.33333333333334,0.0009423364102044909,-0.0005259600231422411,-0.0009261570138358109,-0.00010725073466753248,-0.00029648991056537894,-0.0010817967198517508
"Administração Pública, Defesa e Seguridade Social",2020-11-01,2020-12-01,-0.0312436776214099,-0.00469278170913778,-0.002023689446518303,-0.001271739351866749,-0.0006140076206835243,0.0015664380073676816,-2392.0,509719.0,1640.0,4032.0,-649.6666666666666,-0.0005259600231422411,-0.0009261570138358109,-0.00010725073466753248,-0.00029648991056537894,-0.0010817967198517508,-0.00469278170913778
"Administração Pública, Defesa e Seguridade Social",2020-12-01,2021-01-01,0.004467324882073097,-0.0312436776214099,-0.012339418683466477,-0.006391358951578025,-0.004746557222016215,0.011219181758170703,-15443.0,494276.0,1332.0,16775.0,-3178.5,-0.0009261570138358109,-0.00010725073466753248,-0.00029648991056537894,-0.0010817967198517508,-0.00469278170913778,-0.0312436776214099
"Administração Pública, Defesa e Seguridade Social",2021-01-01,2021-02-01,0.013175704549384545,0.004467324882073097,-0.01048971148282486,-0.0054924453022598746,-0.0021022762868033278,0.011820988000321954,2218.0,496494.0,6800.0,4582.0,-2729.6666666666665,-0.00010725073466753248,-0.00029648991056537894,-0.0010817967198517508,-0.00469278170913778,-0.0312436776214099,0.004467324882073097
"Administração Pública, Defesa e Seguridade Social",2021-02-01,2021-03-01,0.0064221179955566525,0.013175704549384545,-0.004533549396650753,-0.003278619421584528,0.0016416411769500582,0.01371439567264675,6629.0,503123.0,10619.0,3990.0,-1615.6666666666667,-0.00029648991056537894,-0.0010817967198517508,-0.00469278170913778,-0.0312436776214099,0.004467324882073097,0.013175704549384545
"Administração Pública, Defesa e Seguridade Social",2021-03-01,2021-04-01,0.0032596436044257143,0.0064221179955566525,0.008021715809004765,-0.002158851437230857,0.0036238867101740565,0.014178597838400676,3252.0,506375.0,7303.0,4051.0,-1048.3333333333333,-0.0010817967198517508,-0.00469278170913778,-0.0312436776214099,0.004467324882073097,0.013175704549384545,0.0064221179955566525
"Administração Pública, Defesa e Seguridade Social",2021-04-01,2021-05-01,0.0021076243753732045,0.0032596436044257143,0.007619155383122304,-0.0014352780498512782,0.004613368373886531,0.014325120772901512,1656.0,508031.0,5201.0,3545.0,-680.0,-0.00469278170913778,-0.0312436776214099,0.004467324882073097,0.013175704549384545,0.0064221179955566525,0.0032596436044257143
