uf,date_base,target_date,target_taxa,taxa_atual,taxa_media_3m,taxa_media_6m,taxa_tendencia_6m,taxa_volatilidade_6m,saldo_atual,estoque_atual,admissoes_atual,desligamentos_atual,saldo_medio_6m,taxa_lag_6m,taxa_lag_5m,taxa_lag_4m,taxa_lag_3m,taxa_lag_2m,taxa_lag_1m
Acre,2020-07-01,2020-08-01,0.01181294413901304,0.005603511533894574,0.003206312349334881,0.0030675797928730454,-0.0005770853676194841,0.004736457306176814,420.0,74953.0,2020.0,1600.0,229.0,0.01165930124786761,0.0009125679393410722,-0.0037853274779750517,0.0015064697495494042,0.0025089557645606646,0.005603511533894574
Acre,2020-08-01,2020-09-01,0.007497840935856167,0.01181294413901304,0.0066418038124894255,0.003093186941397284,0.002390596687113713,0.004783024714369276,896.0,75849.0,2614.0,1718.0,233.66666666666666,0.0009125679393410722,-0.0037853274779750517,0.0015064697495494042,0.0025089557645606646,0.005603511533894574,0.01181294413901304
Acre,2020-09-01,2020-10-01,0.01032129398205105,0.007497840935856167,0.008304765536254593,0.004190732440816467,0.0025837091716251685,0.0049105701187778916,573.0,76422.0,2308.0,1735.0,317.8333333333333,-0.0037853274779750517,0.0015064697495494042,0.0025089557645606646,0.005603511533894574,0.01181294413901304,0.007497840935856167
Acre,2020-10-01,2020-11-01,0.010177790881007011,0.01032129398205105,0.009877359685640085,0.006541836017487483,0.0018642916937575194,0.003774526861340955,797.0,77219.0,2645.0,1848.0,497.5,0.0015064697495494042,0.0025089557645606646,0.005603511533894574,0.01181294413901304,0.007497840935856167,0.01032129398205105
Acre,2020-11-01,2020-12-01,-0.0006670001667500417,0.010177790881007011,0.009332308599638075,0.00798705620606375,0.0013766405635298369,0.0031836981671833184,794.0,78013.0,2412.0,1618.0,611.1666666666666,0.0025089557645606646,0.005603511533894574,0.01181294413901304,0.007497840935856167,0.01032129398205105,0.010177790881007011
Acre,2020-12-01,2021-01-01,0.0063092688895686755,-0.0006670001667500417,0.0066106948987693405,0.007457730217511966,-0.0009552732923156069,0.004163684173142485,-52.0,77961.0,1785.0,1837.0,571.3333333333334,0.005603511533894574,0.01181294413901304,0.007497840935856167,0.01032129398205105,0.010177790881007011,-0.0006670001667500417
Acre,2021-01-01,2021-02-01,0.013442313737818297,0.0063092688895686755,0.005273353201275216,0.007575356443457651,-0.0014901829330309852,0.00411937325902431,495.0,78456.0,2485.0,1990.0,583.8333333333334,0.01181294413901304,0.007497840935856167,0.01032129398205105,0.010177790881007011,-0.0006670001667500417,0.0063092688895686755
Acre,2021-02-01,2021-03-01,0.0034211383743953483,0.013442313737818297,0.006361527486878977,0.007846918043258527,0.00019547136241732674,0.004431647182188546,1069.0,79525.0,3101.0,2032.0,612.6666666666666,0.007497840935856167,0.01032129398205105,0.010177790881007011,-0.0006670001667500417,0.0063092688895686755,0.013442313737818297
Acre,2021-03-01,2021-04-01,0.007104729435478854,0.0034211383743953483,0.007724240333927441,0.007167467616348389,-0.0005065982974721691,0.004735200348437191,273.0,79798.0,2551.0,2278.0,562.6666666666666,0.01032129398205105,0.010177790881007011,-0.0006670001667500417,0.0063092688895686755,0.013442313737818297,0.0034211383743953483
Acre,2021-04-01,2021-05-01,0.01968700828220485,0.007104729435478854,0.007989393849230834,0.006631373525253024,0.00011520437840128591,0.004525219481349893,571.0,80369.0,2720.0,2149.0,525.0,0.010177790881007011,-0.0006670001667500417,0.0063092688895686755,0.013442313737818297,0.0034211383743953483,0.007104729435478854
